GCCode  state    Latitude   Longtitude  FP Name
GCWTVZ NotFound 50°51.439N 014°34.931E 45 HRANICAR/RANGER
GC2M06P NotFound 50°45.510N 015°26.053E 21 Hratky_s_certy_na_Certaku
GC2VPQY NotFound 50°39.338N 015°13.018E 32 Hrebenovka_nad_Splzov
GC23JQD NotFound 50°45.309N 015°03.371E 84 Hybaj_hledat_H!
GC27AR1 NotFound 50°49.689N 014°34.468E 11 hydrocefalus
GCYJE9 NotFound 50°44.859N 014°37.823E 98 Cha_-_cha_cache_/_Cha_-_Cha_keš
GC2K0TZ NotFound 50°46.715N 014°30.003E 1 Chirp:Ceska_Lipa
GC1JNWC NotFound 50°36.823N 015°11.190E 2 Chocholka
GC15FGM NotFound 50°44.738N 014°32.761E 11 Chotovicky_vrch_-_hrob
GC1XHPX NotFound 50°48.704N 014°58.145E 54 Chrastava
GC1K5AV NotFound 50°48.996N 014°57.844E 65 Chrastavska_muzea_(CZ)(DE)
GC2AA0P NotFound 50°31.861N 015°22.333E 81 ICM_Lomnice_nad_Popelkou
GC26WX1 NotFound 50°42.366N 015°11.880E 28 Indianska_cache
GC135M8 NotFound 50°50.309N 015°08.496E 7 Island
GC11TQH NotFound 50°42.789N 015°11.081E 2 Jablonecka_kalendarova
GC1ERJK NotFound 50°42.335N 015°10.489E 8 Jablonecke_kostely_#5_-_sv.Jana_Nepomuckeho
GC1E3MB NotFound 50°43.357N 015°10.607E 66 Jablonecky_zamecek
GC2007A NotFound 50°38.668N 014°30.482E 45 Jadran_v_Zahradkach
GC15AEJ NotFound 50°45.200N 015°26.248E 5 Janova_skala
GC2BKV2 NotFound 50°44.944N 015°06.174E 4 Japonske_rebusy_#_1_-_SUDOKU
GC2BKRV NotFound 50°46.980N 015°04.914E 45 Japonske_rebusy_#_2_-_NURIKABE
GC2BM0K NotFound 50°43.529N 015°06.082E 44 Japonske_rebusy_#_3_-_KAKURO
GC2BKVV NotFound 50°44.343N 015°06.865E 11 Japonske_rebusy_#_4_-_MASYU
GC2E6E1 NotFound 50°44.460N 015°08.193E 21 Japonske_rebusy_#_5_-_SIKAKU
GC1K7FF NotFound 50°44.094N 014°36.015E 11 Jedinecna
GC2GN51 NotFound 50°45.111N 015°05.111E 78 Jednickova
GC1E6J6 NotFound 50°45.922N 015°03.582E 10 Jednoducha_carakova_-_Simple_barcoded
GC1MM7J Watchlist 50°49.887N 015°11.168E 44 Jeleni_skok
GC14AQ7 NotFound 50°43.696N 014°59.461E 78 Jested_-_Night_Edition
GC1P7NT NotFound 50°43.904N 015°09.228E 92 Jizdarna/Hippodrome
GC13NGH NotFound 50°47.368N 015°19.223E 11 Jizerky_-_Sousska_prehrada_760m.n.m.
GC18VBT NotFound 50°52.598N 015°10.449E 132 Jizerske_vyhledy_-_Na_Hratkach
GC1PN91 NotFound 50°47.525N 015°06.863E 3 Jmeninova
GC2XZV9 NotFound 50°39.958N 014°33.770E 44 KALOKAGATHIA
GC2PNTN Found 50°45.738N 015°03.210E 88 Kanalove_poklopy
GC198GN NotFound 50°38.176N 015°12.811E 91 Kantorovy_varhany/Cantor’s_Organ
GC1AFGR Watchlist 50°44.181N 015°10.075E 1 Kaplicka_sv._Anny_ve_Msene
GC1T236 NotFound 50°43.649N 015°02.295E 23 Kaplicka_sv._Vavrince_v_Pilinkove
GC142C6 NotFound 50°32.183N 015°14.772E 22 Katova_tun
GC27NJY NotFound 50°44.367N 015°10.991E 7 KDE_JSI
GC274XA NotFound 50°35.464N 014°38.072E 44 Kde_se_ztraci_Machovo_jezero?
GC1167N NotFound 50°38.054N 014°28.073E 13 Kdo_propadl_peklu.
GC2RP6C NotFound 50°48.148N 015°07.927E 48 Klogertova_jedle
GC10E3J NotFound 50°53.878N 015°00.048E 6 Kodesova_skala/_Kodes_rock
GC1KKP5 Found 50°43.590N 015°08.820E 74 Kominova_I_-_teziste/centroid
