  GCKod   Latitude  Longtitude                           Name
GC1PGFK   50°44,999N 15°09,555E     Kominova_V_-_Feuerbachova_kruznice                
GC1PP4G   50°42,807N 15°10,078E     Kominova_VI_-_Pripsane_kruznice/Excircles         
GC20ABT   50°31,788N 15°16,149E     Konec_Antimony                                    
GC22ETH   50°46,717N 15°02,381E     Konske_dostihy                                    
GCV95F    50°39,552N 15°09,828E     Kopanina                                          
GC2BJDV   50°42,979N 15°05,266E     Koralkova                                         
GCYHWB    50°44,607N 15°05,433E     Kostel_Nejsvetejsi_Trojice_-_Vratislavice         
GC1QNNT   50°46,493N 15°10,113E     Kostel_sv._Jana_Krtitele                          
GC2DZTE   50°45,564N 15°00,557E     Kostel_sv._Vojtecha                               
GCX2R3    50°43,686N 15°04,071E     Kota                                              
GCXMWB    50°35,725N 15°15,691E     Kozakov_Sudoku_Cache                              
GC3A3YH   50°43,250N 15°23,950E     Krakonos_a_lyznici_jdou_do_skoly                  
GC2JZ25   50°43,494N 14°59,772E     KS#_05_Bonusova_Kes_Karoliny_Svetle_#01           
GC11QTV   50°41,020N 15°32,923E     La_Tenda_rossa                                    
GC2G2ZC   50°44,174N 15°00,764E     Lanovka_Horni_Hanychov_-_Skalka                   
GC2K60W   50°48,956N 14°33,354E     Lasice-hranostaj                                  
GCYTGA    50°46,854N 15°05,256E     Les_zpiva                                         
GC2XG8M   50°43,289N 15°08,599E     Lesni_tramvaj_II_/_Waldbim_II                     
GC29J8B   50°41,600N 15°23,543E     Letterbox_-_Tam_a_zase_zpatky                     
GC1FC3E   50°40,842N 15°32,561E     Levinek                                           
GC16DP9   50°46,105N 15°03,981E     Liberec_-_Liebiegovo_mestecko                     
GC35N1P   50°46,240N 14°57,450E     Liberecka_jesterka_–_leva_predni_noha             
GC35N1T   50°45,664N 14°57,134E     Liberecka_jesterka_-_leva_zadni_noha              
GC35N1X   50°45,314N 14°58,139E     Liberecka_jesterka_-_oko                          
GC35N1G   50°46,000N 14°58,080E     Liberecka_jesterka_-_prava_predni_noha            
GC35N1C   50°45,770N 14°57,860E     Liberecka_jesterka_-_prava_zadni_noha             
GCYZKY    50°46,071N 15°03,584E     Liberecka_radnice_/_Liberec_Town_hall             
GC10ZTJ   50°45,707N 15°03,403E     Liberecka_Slunecní_Cache_/_Liberec_Sunny_Cache    
GC35FY2   50°46,043N 15°01,572E     Liberecka_zdravotnicka                            
GCZPF6    50°46,551N 15°02,869E     Liberecke_tramvaje                                
GC1Z9JM   50°33,300N 15°24,978E     Libstatsky_kamenny_most                           
GC1F20P   50°46,656N 15°04,848E     Lidove_Sady_Liberec_sifrovane_/_Popular_Orchards  
GC340C6   50°38,631N 14°55,367E     LOKOMOBILA                                        
GC1047E   50°31,220N 15°21,914E     Lomnice_nad_Popelkou                              
GC213MG   50°44,690N 15°07,709E     Lukasovske_opevneni                               
GC16J3G   50°50,296N 14°32,900E     Lužické_sedmistovky/Lausitzer_Siebenhunderter     
GC28833   50°42,678N 15°09,575E     Lyzarsky_vlek_Dobra_Voda                          
GC2GR3F   50°29,654N 14°34,938E     Macha_v_Raji                                      
GC286G7   50°40,854N 14°49,536E     MALY_JELENI_VRCH                                  
GC280G6   50°48,314N 14°29,482E     Marsal_Ney                                        
GC2RHZJ   50°43,520N 15°07,605E     Matematicka_olympiada                             
GC1W21R   50°46,995N 15°07,004E     Mesni_skala                                       
GC1BH2H   50°43,423N 15°10,301E     Mesto_skla_a_bizuterie                            
GC1F3EE   50°43,848N 15°11,501E     Mestske_lazne_Paseky                              
GC1RV1B   50°46,935N 15°07,463E     Meteorologicka                                    
GC157PD   50°35,244N 15°09,035E     Mezi_mosty                                        
GCX3X2    50°53,202N 15°11,382E     Milý_ostrov                                       
GC2M9AP   50°44,718N 15°10,330E     Modra_je_dobra                                    
GCVQA2    50°43,788N 15°05,827E     Mojzisuv_Pramen_-_Vesecky_okruh_#3                
GC31584   50°36,404N 14°23,223E     Morove_rany_II.                                   
GC25MYE   50°39,957N 15°09,893E     Mozkovrtka_Skalni                                 
GC1RWGK   50°46,639N 15°06,700E     Mravenci_vyhlidka/Formic_vista                    
GC36TQZ   50°42,523N 15°09,761E     Mrazik                                            
GC12A3Z   50°35,371N 15°09,418E     Muzeum_Ceského_ráje                               
GC1D11R   50°40,930N 14°51,700E     My_Ukrajinci_remizy_neznajem                      
GC35C3H   50°46,234N 14°44,905E     Na_Knoflik,_kacere,_na_Knoflik...                 
GCNAZ0    50°49,288N 14°38,453E     Nadeje_/_Der_Staudamm_Nadeje                      
GC1DVEP   50°47,241N 14°39,419E     Nadeje_umira_posledni                             
GC1TYE9   50°35,256N 15°09,404E     Namesti_Ceskeho_raje                              
GC2MVE3   50°44,372N 14°58,592E     Naucna_stezka_"Terasy_Jestedu"                    
GC1ED7E   50°32,021N 15°15,715E     NEJLEPSI_SESTRY_SVETA                             
GC1HFQV   50°42,445N 15°27,483E     Nemelem_nemelem                                   
GC1ZENN   50°45,101N 15°09,798E     Nemy_Bobes                                        
GC25FY8   50°46,595N 15°04,670E     Neptunova_kasna_Liberec_/_Neptune_Fountain        
GC13C06   50°44,814N 14°28,775E     Neznalkova_cesta_do_Slunecniho_mesta              
GC1HWTG   50°33,403N 15°19,438E     No_jo,_ale_kolik_je_X?                            
GC1WVHT   50°38,125N 15°13,757E     Nocni_dobrodruzstvi                               
GC1MQAW   50°43,734N 15°11,456E     Nocni_upiri_Wherigo_-_cwg_smenarna                
GC1EN3D   50°43,441N 15°12,605E     Novoveska_fotbalova                               
GC26DB4   50°44,377N 15°09,506E     Novy_park                                         
